id,name,feels_like,humidity,pressure,temperature,temp_max,temp_min,weather,wind_speed,datetime,timezone,country,sunrise,sunset,latitude,longitude,clouds
2032614,Baruun-Urt,280.15,24,1020,284.79,284.79,284.79,clear sky,2.46,1586059897,28800,MN,1586037498,1586084426,46.68,113.28,10
5855927,Hilo,294.01,74,1014,294.64,299.15,284.82,overcast clouds,4.1,1586059897,-36000,US,1586016641,1586061310,19.73,-155.09,90
2206890,Masterton,292.51,51,1024,293.2,294.26,292.04,broken clouds,0.89,1586059771,43200,NZ,1586025397,1586066590,-40.96,175.66,83
3514008,Zongolica,295.58,50,1012,296.06,296.06,296.06,light rain,1.54,1586059898,-21600,MX,1586002734,1586047329,18.67,-96.98,100
3391360,Santana,306.71,100,1011,301.15,301.15,301.15,scattered clouds,4.1,1586059898,-10800,BR,1586078625,1586122223,-0.06,-51.18,40
2206939,Bluff,292.52,55,1018,293.71,293.71,293.71,overcast clouds,2.24,1586059898,43200,NZ,1586027409,1586068096,-46.6,168.33,100
2137773,Vao,296.56,79,1009,298.72,298.72,298.72,light rain,9.54,1586059898,39600,NC,1586026750,1586069163,-22.67,167.48,15
3939761,Hualmay,296.34,78,1016,295.1,295.1,295.1,few clouds,2.18,1586059898,-18000,PE,1585998861,1586041907,-11.1,-77.61,18
3416888,Grindavik,257.15,92,997,269.15,269.15,269.15,snow,13.4,1586059899,0,IS,1586068354,1586118697,63.84,-22.43,90
2126199,Cherskiy,251.61,89,1018,256.8,256.8,256.8,scattered clouds,2.41,1586059900,39600,RU,1586023447,1586075432,68.75,161.3,49
7071576,Wuning,287.26,61,996,288.15,288.15,288.15,overcast clouds,0.45,1586059900,28800,CN,1586036637,1586081951,29.26,120.23,100
3424607,Tasiilaq,255.22,43,1027,263.15,263.15,263.15,clear sky,6.2,1586059900,-7200,GL,1586071697,1586122654,65.61,-37.64,2
3372783,Ponta Delgada,286.58,82,1005,288.15,288.15,288.15,few clouds,3.1,1586059900,0,PT,1586071277,1586117329,37.73,-25.67,20
4205615,Liberty,288.56,82,1015,288.79,292.04,285.37,clear sky,1.47,1586059900,-14400,US,1586084915,1586130485,31.83,-81.5,1
5536630,Cedar City,276.2,39,1008,282.65,283.71,282.15,clear sky,5.68,1586059900,-21600,US,1586005921,1586051859,37.68,-113.06,1
780687,Berlevåg,263.19,94,1007,271.32,271.32,271.32,snow,8.27,1586059900,7200,NO,1586054523,1586107803,70.86,29.09,100
2629833,Husavik,249.44,79,1014,266.15,266.15,266.15,overcast clouds,19.5,1586059901,0,IS,1586066759,1586117850,66.04,-17.34,90
2163355,Hobart,278.73,53,996,283.72,285.93,278.71,shower rain,4.6,1586059901,36000,AU,1586032282,1586073301,-42.88,147.33,40
1501377,Kungurtug,274.98,35,1024,278.31,278.31,278.31,overcast clouds,0.49,1586059901,25200,RU,1586041017,1586088470,50.6,97.52,100
2028164,Deputatsky,255.86,88,1009,260.35,260.35,260.35,overcast clouds,1.65,1586059901,36000,RU,1586028436,1586080713,69.3,139.9,100
2110227,Butaritari,305.02,74,1006,301.98,301.98,301.98,light rain,3.73,1586059901,43200,KI,1586024803,1586068561,3.07,172.79,90
934649,Cap Malheureux,302.83,78,1013,299.22,299.82,298.15,scattered clouds,1.5,1586059901,14400,MU,1586053049,1586095591,-19.98,57.61,40
64814,Bandarbeyla,301.14,69,1015,299.79,299.79,299.79,overcast clouds,3.68,1586059902,10800,SO,1586053899,1586098004,9.49,50.81,98
3464724,Diamantino,300.99,82,1011,297.09,297.09,297.09,broken clouds,0.17,1586059902,-14400,BR,1586080272,1586123105,-14.41,-56.45,82
556268,Ostrovnoy,255.04,95,1000,267.52,267.52,267.52,light snow,13.91,1586059903,10800,RU,1586052746,1586104581,68.05,39.51,71
2155415,New Norfolk,278.14,53,996,283.21,285.93,278.71,shower rain,4.6,1586059903,36000,AU,1586032343,1586073370,-42.78,147.06,40
546105,Nikolskoye,265.78,79,1020,271.2,271.48,270.93,clear sky,4.0,1586059903,10800,RU,1586056172,1586105339,59.7,30.79,0
1650527,Balikpapan,307.65,84,1011,303.15,303.15,303.15,few clouds,4.6,1586059864,28800,ID,1586038342,1586081878,-1.27,116.83,20
370737,Malakal,301.55,36,1008,301.58,301.58,301.58,broken clouds,0.88,1586059623,10800,SS,1586058492,1586102601,9.53,31.66,61
2015306,Tiksi,253.18,90,1005,260.85,260.85,260.85,overcast clouds,6.25,1586059904,32400,RU,1586030409,1586084033,71.69,128.87,100
777019,Vardø,265.84,91,1007,272.12,272.12,272.12,light snow,5.68,1586059904,7200,NO,1586054180,1586107177,70.37,31.11,100
1505991,Igarka,265.95,96,1014,274.16,274.16,274.16,overcast clouds,8.98,1586059905,25200,RU,1586041606,1586093131,67.47,86.58,100
2729907,Longyearbyen,250.14,70,1016,256.15,256.15,256.15,few clouds,3.41,1586059905,7200,SJ,1586054027,1586114754,78.22,15.64,20
2271968,Aljezur,285.2,95,1014,288.71,288.71,288.71,broken clouds,7.2,1586059905,3600,PT,1586067251,1586113259,37.32,-8.8,68
6173361,Vanderhoof,264.52,91,1013,268.46,268.46,268.46,overcast clouds,1.76,1586059906,-25200,CA,1586007577,1586055463,54.02,-124.02,96
1215412,Belawan,309.61,55,1012,306.04,306.15,305.93,scattered clouds,2.1,1586059906,25200,ID,1586042567,1586086364,3.78,98.68,40
2736316,Peso da Régua Municipality,283.91,85,1009,285.53,286.48,284.26,overcast clouds,2.35,1586059906,3600,PT,1586066825,1586113200,41.16,-7.79,100
2121385,Severo-Kuril'sk,269.06,91,1029,272.92,272.92,272.92,scattered clouds,2.37,1586059906,39600,RU,1586026968,1586074396,50.68,156.12,45
3171985,Orbetello,276.13,70,1020,279.4,280.15,278.15,clear sky,2.1,1586059966,7200,IT,1586062202,1586108701,42.44,11.22,0
5697939,North Platte,270.79,55,1015,276.27,278.15,274.15,clear sky,4.1,1586059689,-18000,US,1586002816,1586049067,41.12,-100.77,1
3531368,Celestún,299.83,79,1009,299.92,299.92,299.92,clear sky,7.48,1586059967,-21600,MX,1586001090,1586045815,20.87,-90.4,7
1507379,Divnogorsk,272.15,41,1036,277.15,277.15,277.15,clear sky,3.0,1586059968,25200,RU,1586041815,1586090148,55.96,92.36,0
3831208,Qaanaaq,256.73,77,1034,262.21,262.21,262.21,overcast clouds,3.08,1586059968,-10800,GL,1586074911,1586134662,77.48,-69.36,100
5367788,Lompoc,281.5,81,1013,284.58,286.15,283.15,clear sky,3.83,1586059969,-25200,US,1586007823,1586053509,34.64,-120.46,8
3689147,Barranquilla,301.08,88,1009,300.15,300.15,300.15,broken clouds,7.7,1586059864,-18000,CO,1585997628,1586041791,10.96,-74.8,75
3899539,Antofagasta,292.31,72,1012,292.15,292.15,292.15,scattered clouds,1.5,1586059969,-14400,CL,1586083885,1586126188,-23.65,-70.4,38
3443061,Chui,288.89,77,1013,290.16,290.16,290.16,clear sky,3.12,1586059970,-10800,UY,1586080144,1586121799,-33.7,-53.46,0
921786,Mitsamiouli,304.81,69,1012,301.45,301.45,301.45,light rain,1.96,1586059971,10800,KM,1586056255,1586099262,-11.38,43.28,8
2082539,Merauke,307.5,56,1008,304.98,304.98,304.98,clear sky,3.08,1586059972,32400,ID,1586032887,1586076055,-8.47,140.33,2
2563140,Dingli,282.41,87,1015,284.68,285.93,283.15,clear sky,3.1,1586059972,7200,MT,1586061758,1586107628,35.86,14.38,0
1586443,Ca Mau,305.24,47,1013,306.22,306.22,306.22,scattered clouds,6.83,1586059748,25200,VN,1586040871,1586084955,9.18,105.15,43
5380437,Pacific Grove,280.44,93,1010,284.63,285.93,282.59,light rain,6.2,1586059973,-25200,US,1586008091,1586053941,36.62,-121.92,90
2132606,Samarai,302.41,63,1008,302.43,302.43,302.43,scattered clouds,6.36,1586059973,36000,PG,1586030461,1586073519,-10.62,150.67,47
2175819,Biloela,300.34,37,1012,302.33,302.33,302.33,clear sky,4.17,1586059973,36000,AU,1586030877,1586073185,-24.42,150.5,0
4032243,Vaini,300.26,69,1010,299.15,299.15,299.15,broken clouds,3.6,1586059974,46800,TO,1586108969,1586151397,-21.2,-175.2,75
7671223,Kloulklubed,306.05,70,1011,303.15,303.15,303.15,broken clouds,4.1,1586059975,32400,PW,1586033944,1586077911,7.04,134.26,75
2074865,Carnarvon,298.03,65,1011,300.15,300.15,300.15,broken clouds,8.2,1586059848,28800,AU,1586039742,1586082014,-24.87,113.63,66
6167817,Torbay,265.19,92,1014,270.22,270.93,269.82,overcast clouds,3.6,1586059975,-9000,CA,1586077224,1586124368,47.67,-52.73,90
2019309,Neryungri,262.59,83,1026,269.32,269.32,269.32,light snow,5.7,1586059976,32400,RU,1586034012,1586082455,56.67,124.65,100
2501152,Constantine,274.78,100,1019,277.15,277.15,277.15,fog,1.5,1586059976,3600,DZ,1586063599,1586109516,36.37,6.61,90
964432,Port Alfred,291.91,93,1008,290.93,290.93,290.93,clear sky,1.79,1586059976,7200,ZA,1586060846,1586102536,-33.59,26.89,2
2145554,Ulladulla,282.6,34,1010,291.76,294.82,288.15,clear sky,10.8,1586059977,36000,AU,1586031234,1586072843,-35.35,150.47,10
2618795,Klaksvík,272.51,87,1001,280.15,280.15,280.15,light rain,9.3,1586059977,3600,FO,1586064800,1586114650,62.23,-6.59,100
2514651,Los Llanos de Aridane,289.38,68,1015,290.43,293.15,288.71,scattered clouds,2.1,1586059978,3600,ES,1586069789,1586115098,28.66,-17.92,31
